columnName	title	Plugin	description	unitLabel	DICOM.QuantityCode	DICOM.UnitsCode	DICOM.MeasurementMethodCode	DICOM.DerivationCode	type	componentNames
Segment	Segment								string	
Voxel count (LM)	Voxel count (LM)	Label Map	Number of voxels in the binary labelmap representation of the segment.		CodeValue:nvoxels|CodingSchemeDesignator:99QIICR|CodeMeaning:Number of voxels	CodeValue:voxels|CodingSchemeDesignator:UCUM|CodeMeaning:voxels			long	
Volume mm3 (LM)	Volume (LM)	Label Map	Volume of the segment computed from binary labelmap representation.	mm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:mm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic millimeter			double	
Volume cm3 (LM)	Volume (LM)	Label Map	Volume of the segment computed from binary labelmap representation.	cm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:cm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic centimeter	CodeValue:126030|CodingSchemeDesignator:DCM|CodeMeaning:Sum of segmented voxel volumes		double	
Voxel count (SV)	Voxel count (SV)	Scalar Volume	Number of voxels. Computed from region of the binary labelmap representation of the segment that overlaps with the input scalar volume.		CodeValue:nvoxels|CodingSchemeDesignator:99QIICR|CodeMeaning:Number of voxels	CodeValue:voxels|CodingSchemeDesignator:UCUM|CodeMeaning:voxels			long	
Volume mm3 (SV)	Volume (SV)	Scalar Volume	Volume of the region of the binary labelmap representation that overlaps with the input scalar volume.	mm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:mm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic millimeter			double	
Volume cm3 (SV)	Volume (SV)	Scalar Volume	Volume of the region of the binary labelmap representation that overlaps with the input scalar volume.	cm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:cm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic centimeter	CodeValue:126030|CodingSchemeDesignator:DCM|CodeMeaning:Sum of segmented voxel volumes		double	
Minimum	Minimum	Scalar Volume	Minimum input scalar volume voxel value within the segment.					CodeValue:255605001|CodingSchemeDesignator:SCT|CodeMeaning:Minimum	double	
Maximum	Maximum	Scalar Volume	Maximum input scalar volume voxel value within the segment.					CodeValue:56851009|CodingSchemeDesignator:SCT|CodeMeaning:Maximum	double	
Mean	Mean	Scalar Volume	Mean input scalar volume voxel value within the segment.					CodeValue:373098007|CodingSchemeDesignator:SCT|CodeMeaning:Mean	double	
Median	Median	Scalar Volume	Median input scalar volume voxel value within the segment.					CodeValue:median|CodingSchemeDesignator:SCT|CodeMeaning:Median	double	
Standard deviation	Standard Deviation	Scalar Volume	Standard deviation of input scalar volume voxel values within the segment.					CodeValue:386136009|CodingSchemeDesignator:SCT|CodeMeaning:Standard Deviation	double	
Surface mm2	Surface area	Closed Surface	Surface area computed from closed surface representation.	mm2	CodeValue:000247|CodingSchemeDesignator:99CHEMINF|CodeMeaning:Surface area	CodeValue:mm2|CodingSchemeDesignator:UCUM|CodeMeaning:square millimeter			double	
Volume mm3 (CS)	Volume (CS)	Closed Surface	Volume computed from closed surface representation.	mm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:mm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic millimeter			double	
Volume cm3 (CS)	Volume (CS)	Closed Surface	Volume computed from closed surface representation.	cm3	CodeValue:118565006|CodingSchemeDesignator:SCT|CodeMeaning:Volume	CodeValue:cm3|CodingSchemeDesignator:UCUM|CodeMeaning:cubic centimeter			double	
