series	image	acq. date	acq. time	pixelValues	ActualFrameDuration	
Pozadi-20pct	D1 - pozadi_EM	20191017	073358.00	7644	100000
Pozadi-20pct	D2 - pozadi_EM	20191017	073358.00	3850	100000
pct20 win-13	Detektor 1_EM	20191017	093929.00	1054137	45000
pct20 win-13	Detektor 2_EM	20191017	093929.00	1105990	45000
Pozadi-20pct	D2 - pozadi_EM	20191019	074930.00	2060	100000
Pozadi-20pct	D1 - pozadi_EM	20191019	074930.00	2036	100000
pct20 win	Detektor 1_EM	20191019	075756.00	2539577	100000
pct20 win	Detektor 2_EM	20191019	075756.00	2669299	100000
Pozadi-20pct	D1 - pozadi_EM	20191021	065759.00	2038	100000
Pozadi-20pct	D2 - pozadi_EM	20191021	065759.00	2077	100000
pct20 win	Detektor 1_EM	20191021	070546.00	2739133	100000
pct20 win	Detektor 2_EM	20191021	070546.00	2834477	100000
Pozadi-20pct	D2 - pozadi_EM	20191023	070546.00	2108	100000
Pozadi-20pct	D1 - pozadi_EM	20191023	070546.00	2111	100000
pct20 win	Detektor 1_EM	20191023	071351.00	2743088	100000
pct20 win	Detektor 2_EM	20191023	071351.00	2835791	100000
Pozadi-20pct	D1 - pozadi_EM	20191029	064822.00	2025	100000
Pozadi-20pct	D2 - pozadi_EM	20191029	064822.00	2020	100000
pct20 win	Detektor 1_EM	20191029	065813.00	2293690	100000
pct20 win	Detektor 2_EM	20191029	065813.00	2376377	100000
Pozadi-20pct	D1 - pozadi_EM	20191104	065000.00	2068	100000
Pozadi-20pct	D2 - pozadi_EM	20191104	065000.00	2094	100000
pct20 win	Detektor 1_EM	20191104	065823.00	1654429	100000
pct20 win	Detektor 2_EM	20191104	065823.00	1690014	100000
Pozadi-20pct	D1 - pozadi_EM	20191111	065804.00	1978	100000
Pozadi-20pct	D2 - pozadi_EM	20191111	065804.00	2053	100000
pct20 win	Detektor 2_EM	20191111	070737.00	1049755	100000
pct20 win	Detektor 1_EM	20191111	070737.00	1021109	100000
Pozadi-20pct	D2 - pozadi_EM	20191118	065351.00	2099	100000
Pozadi-20pct	D1 - pozadi_EM	20191118	065351.00	1975	100000
pct20 win	Detektor 2_EM	20191118	070317.00	608808	100000
pct20 win	Detektor 1_EM	20191118	070317.00	592056	100000
Pozadi-20pct	D1 - pozadi_EM	20191125	065356.00	2098	100000
Pozadi-20pct	D2 - pozadi_EM	20191125	065356.00	2110	100000
pct20 win	Detektor 2_EM	20191125	070254.00	350417	100000
pct20 win	Detektor 1_EM	20191125	070254.00	342716	100000
Pozadi-20pct	D2 - pozadi_EM	20191202	070721.00	2147	100000
Pozadi-20pct	D1 - pozadi_EM	20191202	070721.00	1944	100000
pct20 win	Detektor 2_EM	20191202	071620.00	193949	100000
pct20 win	Detektor 1_EM	20191202	071620.00	187666	100000
Pozadi-20pct	D1 - pozadi_EM	20191209	065914.00	1975	100000
Pozadi-20pct	D2 - pozadi_EM	20191209	065914.00	2074	100000
pct20 win	Detektor 2_EM	20191209	070756.00	105996	100000
pct20 win	Detektor 1_EM	20191209	070756.00	104491	100000
Pozadi-20pct	D2 - pozadi_EM	20191216	070227.00	2054	100000
Pozadi-20pct	D1 - pozadi_EM	20191216	070227.00	2004	100000
pct20 win	Detektor 2_EM	20191216	071245.00	59250	100000
pct20 win	Detektor 1_EM	20191216	071245.00	58353	100000
